Afghanistan;3.009;;;;;;;;;
Albania;82;;;;;;;;;
Algeria10;94.148;;;;;;;;;
Angola;16.223;;;;;;;;;
Argentina;3.361;;;;;;;;;
Armenia;2.918;;;;;;;;;
Aruba;-;;;;;;;;;
Antigua and Barbuda;-;;;;;;;;;
Australia;23.434;;;;;;;;;
Austria;47.073;;;;;;;;;
Azerbaijan;1.730;;;;;;;;;
Bahamas;28;;;;;;;;;
Bahrain;199;;;;;;;;;
Bangladesh;229.669;;;;;;;;;
Belarus;595;;;;;;;;;
Belgium;22.402;;;;;;;;;
Belize;78;;;;;;;;;
Benin;7.217;;;;;;;;;
Bolivia (Plurinational State of);716;;;;;;;;;
Bonaire;-;;;;;;;;;
Bosnia and Herzegovina;6.933;;;;;;;;;
Botswana;3.312;;;;;;;;;
Brazil;4.477;;;;;;;;;
British Virgin Islands;2;;;;;;;;;
Brunei Darussalam;-;;;;;;;;;
Bulgaria;5.688;;;;;;;;;
Burkina Faso;546;;;;;;;;;
Burundi;35.659;;;;;;;;;
Cambodia;64;;;;;;;;;
Cameroon;100.373;;;;;;;;;
Canada;164.883;;;;;;;;;
Cayman Islands;3;;;;;;;;;
Central African Rep.;16.730;;;;;;;;;
Chad;366.494;;;;;;;;;
Chile;1.674;;;;;;;;;
China11;301.018;;;;;;;;;
Colombia;219;;;;;;;;;
Comoros;-;;;;;;;;;
Congo;141.232;;;;;;;;;
Costa Rica;20.057;;;;;;;;;
Côte d'Ivoire;24.221;;;;;;;;;
Croatia;824;;;;;;;;;
Cuba;384;;;;;;;;;
Curacao;6;;;;;;;;;
Cyprus12;3.503;;;;;;;;;
Czech Rep.13;2.449;;;;;;;;;
Dem. Rep. of the Congo;152.749;;;;;;;;;
Denmark;13.399;;;;;;;;;
Djibouti;20.340;;;;;;;;;
Dominica;-;;;;;;;;;
Dominican Rep.;595;;;;;;;;;
Ecuador;123.436;;;;;;;;;
Egypt;95.087;;;;;;;;;
El Salvador;38;;;;;;;;;
Equatorial Guinea;-;;;;;;;;;
Eritrea;4.719;;;;;;;;;
Estonia;50;;;;;;;;;
Ethiopia;288.844;;;;;;;;;
Fiji;7;;;;;;;;;
Finland;9.175;;;;;;;;;
France;210.207;;;;;;;;;
Gabon;1.773;;;;;;;;;
Gambia;9.528;;;;;;;;;
Georgia;462;;;;;;;;;
Germany;571.685;;;;;;;;;
Ghana;13.588;;;;;;;;;
Greece;1.573;;;;;;;;;
Grenada;3;;;;;;;;;
Guatemala;147;;;;;;;;;
Guinea;16.609;;;;;;;;;
Guinea-Bissau;7.800;;;;;;;;;
Guyana;7;;;;;;;;;
Haiti;-;;;;;;;;;
Honduras;17;;;;;;;;;
Hungary;5.106;;;;;;;;;
Iceland;58;;;;;;;;;
India;185.118;;;;;;;;;
Indonesia;1.006;;;;;;;;;
Iran, Islamic Rep. of;886.468;;;;;;;;;
Iraq;35.189;;;;;;;;;
Ireland;8.249;;;;;;;;;
Israel;41.235;;;;;;;;;
Italy;58.060;;;;;;;;;
Jamaica;20;;;;;;;;;
Japan;2.649;;;;;;;;;
Jordan14;451.009;;;;;;;;;
Kazakhstan;616;;;;;;;;;
Kenya;566.487;;;;;;;;;
Kuwait;335;;;;;;;;;
Kyrgyzstan15;6.095;;;;;;;;;
Lao People's Dem. Rep.;-;;;;;;;;;
Latvia;95;;;;;;;;;
Lebanon;8.990;;;;;;;;;
Lesotho;34;;;;;;;;;
Liberia;128.293;;;;;;;;;
Libya;10.130;;;;;;;;;
Liechtenstein;94;;;;;;;;;
Lithuania;821;;;;;;;;;
Luxembourg;2.855;;;;;;;;;
Madagascar;9;;;;;;;;;
Malawi;6.308;;;;;;;;;
Malaysia;86.680;;;;;;;;;
Mali;15.624;;;;;;;;;
Malta;6.952;;;;;;;;;
Mauritania;26.535;;;;;;;;;
Mauritius;-;;;;;;;;;
Mexico;1.677;;;;;;;;;
Micronesia (Federated States of);-;;;;;;;;;
Monaco;37;;;;;;;;;
Mongolia;1;;;;;;;;;
Montenegro;12.874;;;;;;;;;
Montserrat;-;;;;;;;;;
Morocco;736;;;;;;;;;
Mozambique;4.079;;;;;;;;;
Myanmar;-;;;;;;;;;
Namibia;6.049;;;;;;;;;
Nepal16;72.654;;;;;;;;;
Netherlands;74.598;;;;;;;;;
New Zealand;1.934;;;;;;;;;
Nicaragua;86;;;;;;;;;
Niger;302;;;;;;;;;
Nigeria;8.806;;;;;;;;;
Norway;40.691;;;;;;;;;
Occupied Palestinian Territory;-;;;;;;;;;
Oman;83;;;;;;;;;
Pakistan;1.702.700;;;;;;;;;
Palau;1;;;;;;;;;
Panama;17.262;;;;;;;;;
Papua New Guinea;9.377;;;;;;;;;
Paraguay;124;;;;;;;;;
Peru;1.144;;;;;;;;;
Philippines;125;;;;;;;;;
Poland;15.847;;;;;;;;;
Portugal;408;;;;;;;;;
Qatar;80;;;;;;;;;
Rep. of Korea;401;;;;;;;;;
Rep. of Moldova;146;;;;;;;;;
Romania;1.005;;;;;;;;;
Russian Federation17;3.914;;;;;;;;;
Rwanda;55.325;;;;;;;;;
Saint Kitts and Nevis;-;;;;;;;;;
Saint Lucia;2;;;;;;;;;
Saint Maarten;3;;;;;;;;;
Saint Vincent and the Grenadines;-;;;;;;;;;
Sao Tome and Principe;-;;;;;;;;;
Saudi Arabia;599;;;;;;;;;
Senegal;20.644;;;;;;;;;
Serbia and Kosovo;70.707;;;;;;;;;
Sierra Leone;8.092;;;;;;;;;
Singapore;3;;;;;;;;;
Slovakia;546;;;;;;;;;
Slovenia;142;;;;;;;;;
Somalia;2.099;;;;;;;;;
South Africa18;57.899;;;;;;;;;
South Sudan19;105.023;;;;;;;;;
Spain;4.228;;;;;;;;;
Sri Lanka;188;;;;;;;;;
Sudan20;139.415;;;;;;;;;
Suriname;-;;;;;;;;;
Swaziland;759;;;;;;;;;
Sweden;86.615;;;;;;;;;
Switzerland;50.416;;;;;;;;;
Syrian Arab Rep.21;755.445;;;;;;;;;
Tajikistan;3.323;;;;;;;;;
The former Yugoslav Republic of Macedonia;1.130;;;;;;;;;
Thailand;89.253;;;;;;;;;
Timor-Leste;-;;;;;;;;;
Togo;19.270;;;;;;;;;
Tonga;2;;;;;;;;;
Trinidad and Tobago;22;;;;;;;;;
Tunisia;4.097;;;;;;;;;
Turkey;14.465;;;;;;;;;
Turkmenistan;59;;;;;;;;;
Uganda;139.448;;;;;;;;;
Ukraine;3.176;;;;;;;;;
United Arab Emirates;677;;;;;;;;;
United Kingdom;193.510;;;;;;;;;
United Rep. of Tanzania;131.243;;;;;;;;;
United States22;264.763;;;;;;;;;
Uruguay;174;;;;;;;;;
Uzbekistan;214;;;;;;;;;
Vanuatu;-;;;;;;;;;
Venezuela (Bolivarian Rep. of);202.022;;;;;;;;;
Viet Nam;990;;;;;;;;;
Yemen;214.740;;;;;;;;;
Zambia;45.632;;;;;;;;;
Zimbabwe;4.561;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
